x values, solutions and p values of 2^22-smooth twin numbers for x in the range from 73786941110466117632 to 73786976294838206464 - 2021-02-01 19:18:29.226296
10, x=73786946612058507483, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=3780622267169259485804185220001358383648145867221109779514209637506858915060795139279927623508556510860878813511, p prime? False
25, x=73786954865028949526, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=3780624804314972706695170784912201116782468269217725999259199230906399532940536744357171934840943291042038413777, p prime? False
7, x=73786944979430083726, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=274039151624116952562855804533319521163916340921878327031321484428643758277858532555364843482431623293949121457, p prime? False
18, x=73786951041903420497, solution: [15, 15, 736, 736, 1457, 1457], [0, 31, 705, 767, 1441, 1472], p=1247527524869841285544342423030882685501357011382032209490431886438418335774582283547330185820467093675591, p prime? False
26, x=73786955447903978133, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=3780624983503706419693723972351080127504425490911549619192598888393507352427113158966848501169783404106910541831, p prime? False
27, x=73786956049730440165, solution: [5, 5, 96, 96, 187, 187], [0, 11, 85, 107, 181, 192], p=40062853213107357739003961737998432748055785409646692378879556916787903233502695124712834268239313362810713287, p prime? False
53, x=73786970356829308230, solution: [14, 14, 645, 645, 1276, 1276], [0, 29, 616, 674, 1261, 1290], p=2431258961742983337871481913796977736158148174701952028554350877288280662547846161231000038610245530368007, p prime? False
21, x=73786952765234473255, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=457455523213778466639804262791504021290826183945128601696792748944174509603667460889280691102531508019488278748561, p prime? False
55, x=73786971460521115413, solution: [6, 6, 133, 133, 260, 260], [0, 13, 120, 146, 253, 266], p=7498175984576529769701833610932036517010242045734098243310058861365864038662661880378489117873378147996052871, p prime? False
62, x=73786975328085087621, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=22415361762950478203080662994086780063225533772221107889333177181575409892158895166901109533785104573585082232921217, p prime? False
56, x=73786972030965737280, solution: [7, 7, 176, 176, 345, 345], [0, 15, 161, 191, 337, 352], p=1786687184077640521712735409932446421263502624807253759848078679656623575666184891744184441980032303022082737, p prime? False
57, x=73786972588898729413, solution: [6, 6, 133, 133, 260, 260], [0, 13, 120, 146, 253, 266], p=7498176672565811575523994845192204735881618212481590509243039175787207575990548244268966471312267256094035071, p prime? False
57, x=73786972603298865693, solution: [13, 13, 224, 224, 435, 435], [0, 29, 195, 253, 419, 448], p=201162439206735504742082060890626411959152001045213060158400744242092714405979980027216756263654167736900737, p prime? False
61, x=73786974811650480116, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=300760252004462445416247198770489595495928143958545714456795329208575694740716820421855980451510483122698899487, p prime? False
51, x=73786969327696704485, solution: [6, 6, 133, 133, 260, 260], [0, 13, 120, 146, 253, 266], p=7498174684160645625773241631928248289940166370127014434368478736539558835090923516804856050598553500052967199, p prime? False
36, x=73786961099709291326, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=3780626720994594687428915633585878267973366903322358672281493680056357433380166313833408030293226859043126500657, p prime? False
