x values, solutions and p values of 2^16-smooth twin numbers for x in the range from 2199023255552 to 4398046511104 - 2020-10-19 17:26:48.407742
60, x=4260609853152, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=4238791321963036199710846328068977662842221848877109744823300830406449, p prime? True
14, x=2680063493341, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=51468084065891711430608420371312013619889194924062490269625539957167921, p prime? False
12, x=2611356681154, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=590934549769211955055877141005883447854983306089000897956136154049, p prime? False
29, x=3195472588847, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=24940010501364630674662823739391011424780988348061604470713820917761, p prime? False
12, x=2611359100618, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=898816446893463978543587380987548893633835943847941650216455997172807, p prime? False
36, x=3435994228851, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=228550437955716715751152293863215434431305892542026976581531255516734449, p prime? False
2, x=2267769629879, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=230955892245908668387432873232619308357708807171236702079716227199, p prime? False
8, x=2473951787664, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=389298587856612550608377298724512861193216597390332712570841492801, p prime? True
14, x=2680113097663, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=51473799954841043094192577699092489086114482181305619869241492355344671, p prime? False
11, x=2577035296875, solution: [3, 4, 25, 27, 48, 49], [0, 13, 13, 39, 39, 52], p=30748919627143584020229856616374133959691320394996453992936112488751, p prime? False
7, x=2439598038176, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=149389847818640129743073689510445137659889809571034550521721474698321, p prime? False
41, x=3607859192633, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=51663465032935555794943744209191842756405273496117642101161797137681, p prime? False
14, x=2680149049821, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=1554098026677190344683240515094630296006672118906327473511741627281, p prime? False
19, x=2851971522386, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=381313815132933014392314649517373017265919013706883857689966213640007, p prime? False
20, x=2886333737755, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=2424398475279358129052687916321012091597948773643522962237542479999, p prime? False
14, x=2680177062070, solution: [10, 10, 119, 119, 228, 228], [0, 24, 95, 143, 214, 238], p=10070413301935983286222343222018000724987518600055116289524595041, p prime? False
60, x=4260748385113, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=140152671878156880920614558096834277874996314292470872914182533628977, p prime? False
32, x=3298674944825, solution: [7, 7, 176, 176, 345, 345], [0, 15, 161, 191, 337, 352], p=14262889593248321429402431960597282805759332771613024236322945311, p prime? False
27, x=3126877427960, solution: [10, 10, 143, 143, 276, 276], [0, 23, 120, 166, 263, 286], p=12000653633198566990255220903124306562333557505055316764296306049, p prime? False
36, x=3436135635120, solution: [6, 6, 133, 133, 260, 260], [0, 13, 120, 146, 253, 266], p=76471446950998238011423634712595688810888367217619164152993994001, p prime? False
26, x=3092541190746, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=619875382727913003919844828617077345035826418818646514260017276222049, p prime? False
58, x=4192064228576, solution: [7, 7, 176, 176, 345, 345], [0, 15, 161, 191, 337, 352], p=60081111440465188483254666035864083529890681203491795592658268449, p prime? False
27, x=3126905191007, solution: [7, 7, 80, 80, 153, 153], [0, 17, 63, 97, 143, 160], p=254659194313282668198136120621286046695352351939562868203843351249, p prime? False
0, x=2199192119345, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=210824574681093546871342931000326699623398128070386802924431831687, p prime? False
4, x=2336636714986, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=115334333545899527907139000960194927876884109731844970415770505452897, p prime? False
24, x=3023860403523, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=106178829178726870158272314600190972363666908745562026834333358959495617, p prime? False
41, x=3608001683407, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=6252760764272527735109845260206018120782970579650455182869664205881471, p prime? False
21, x=2920797734972, solution: [14, 14, 117, 117, 220, 220], [0, 40, 77, 157, 194, 234], p=9562374271586544043905514163685039414013482443736951069979177087, p prime? False
0, x=2199240788677, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=80176689833185452663176437661659574925821773516965878433527629608049, p prime? False
2, x=2267961397194, solution: [10, 10, 119, 119, 228, 228], [0, 24, 95, 143, 214, 238], p=3697262857228766921797343686324485586794556470515785588194931199, p prime? True
32, x=3298778471254, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=30185957944074917277247965790987790972243170986625186293085030031249, p prime? False
57, x=4157787776100, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=121020783899130822745789551809018755090639785430120505073204633514111, p prime? False
6, x=2405432465100, solution: [1, 3, 12, 16, 25, 27], [0, 7, 7, 21, 21, 28], p=996466604487987939929719750492091489562550307113952733928620250015543, p prime? False
12, x=2611604585520, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=224830883482085143405867301887601430061611999541193016598637151259057, p prime? False
30, x=3230098723344, solution: [3, 4, 25, 27, 48, 49], [0, 13, 13, 39, 39, 52], p=119234637612630682108886008568921867794059136468562115718819638587963, p prime? False
37, x=3470623833165, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=242724028997866397815321601485777678635526180471011603007241582504496449, p prime? False
21, x=2920863784130, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=440026929212185181526214771325425583492129160789756162988315793716351, p prime? False
45, x=3745514206980, solution: [14, 14, 117, 117, 220, 220], [0, 40, 77, 157, 194, 234], p=42523160084097020901827783411800989689567812675747865594194004167, p prime? False
1, x=2233654965083, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=17249004357618435544802317106049292707217008936719583238659074852870449, p prime? False
41, x=3608089275800, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=4111552674823223582061605810299800514655893891649303002169685551521, p prime? False
50, x=3917336267395, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=15151996022240604081613188911412573711863010747149275592658535674257, p prime? False
47, x=3814299376930, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=8728911400727854176576137072957837810603888293519571697670822107633791, p prime? False
28, x=3161454794280, solution: [6, 6, 133, 133, 260, 260], [0, 13, 120, 146, 253, 266], p=46387329827827798313214320857899049297957469543809736917770884017, p prime? False
29, x=3195836172581, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=147970299214570682621977834389808985497751895319839351179310048213287137, p prime? False
14, x=2680424172008, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=1051217489908942854193998104006583502857295716307816316185568093349601, p prime? False
51, x=3951767620541, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=15968830761329325908646360477044185176648392620420540224704408816449, p prime? False
15, x=2714803877275, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=1678631978150469776042831130789840105391503027464251337729084258431, p prime? False
19, x=2852254601861, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=381540960956338109747037871756037043951848928863965224246818778748897, p prime? False
0, x=2199403676496, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=80212326380078471762985773294096963520547219570278529697984556214049, p prime? False
5, x=2371190232477, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=4163748000986044063201002474016023282549420790203353361417071968799, p prime? False
60, x=4261052591565, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=140212721832844138594921104953702500986586483260263679842400356403199, p prime? False
8, x=2474304980630, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=650415376056609676849102795328549000373231192842174998130149296063361, p prime? False
50, x=3917459600505, solution: [7, 7, 80, 80, 153, 153], [0, 17, 63, 97, 143, 160], p=984687077505203229208013968022036053680426803239112542606741287199, p prime? False
