x values, solutions and p values of 2^22-smooth twin numbers for x in the range from 74939897799445053440 to 74940038536933408768 - 2021-02-16 18:15:26.347628
26, x=74939954975925197408, solution: [16, 16, 833, 833, 1650, 1650], [0, 33, 800, 866, 1633, 1666], p=732508563277451577004112808518422660232791476412352439173160474915445257836167823580451558450454800283761, p prime? False
8, x=74939915408540940875, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=742683745164586673602451230692706770280643312502193415721511124457665558884656301348787965654817284376391860551, p prime? False
38, x=74939981381727257752, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=125514215907721818765005116071490850432647098632614675861260553024904273382471763365911859543100324118959185844999, p prime? False
51, x=74940009972439510946, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=125514503221184185061021964207004630137760754927063047771934521344124111380903335050612453181720438033437199527199, p prime? False
34, x=74939972591931881008, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=502056510310078534838332063446130587789939415986569944217639365957089854035316572781647300327435932836997137050801, p prime? False
52, x=74940012183803476773, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=24600846986949674187489692978493786503074258642933868844312208170401100370186187463048154492408348104254434063816417, p prime? False
33, x=74939970421535601558, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=502056423067332203364375065284768997915634237629574114834780419582523031443855810750189107281304397661522294938241, p prime? False
47, x=74940001208767524448, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=4149236864572974473434361200404686226051789383162199933967258366085174429006571784668052785931823406824720718001, p prime? False
43, x=74939992441449717982, solution: [14, 14, 207, 207, 400, 400], [0, 32, 175, 239, 382, 414], p=263630176536220832925224568294945438169096723138813059418337405505914851353755766369415379454238682176079857, p prime? False
9, x=74939917675445514391, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=24600660839796349887849438101616683508335304026480921239554030824792024674635306767140187523773715925318083695511751, p prime? False
62, x=74940034225287235782, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=502058987772228075279224743992232500741220558563806941549702429312897104133791844409939191935806131904531129043121, p prime? False
42, x=74939990246096866425, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=4149233222723506132203682130754375824362965647510692614005952767307944096385711286047549124071527210831704464721, p prime? False
20, x=74939941878759160023, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=502055275743372576972959598301537804248093675651418988183757575519693273415369876560326863546854347038343030092001, p prime? False
51, x=74940010054082322315, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=24600842792159281455846788545891052716238016494241892307227984567094603554518839928308597541411437020220506251634049, p prime? False
7, x=74939913302140537105, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=330081608850269225658058894810425761558639421728920261439981592594446403341520551030306849045001077080939015111, p prime? False
46, x=74939999080136206055, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=300758242180698699364469293017504574281247332278778578481366854468507407191072243149768972713211089744114811249, p prime? False
5, x=74939908919185642752, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=502053950881690445353344859303350979591372917713683516451027098317376961265384974276269666170600150587865946261249, p prime? False
10, x=74939919917719998743, solution: [7, 7, 80, 80, 153, 153], [0, 17, 63, 97, 143, 160], p=48255900902026336036782337110324128631429521021526994384542497893860138312706422426401543201440717088877568711, p prime? False
61, x=74940032069739005623, solution: [7, 7, 80, 80, 153, 153], [0, 17, 63, 97, 143, 160], p=48256334210492870802079919298043346315673402851590137908728018776932062188670355309952047759493588068708956807, p prime? False
45, x=74939996904795516905, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=24600816892771592871749570861036816605382394260186147157996752691590427938997647944581451340274303973272281683168391, p prime? False
0, x=74939897954331106636, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=330081203243151836646326356506480855804569635269524509799032990185000373453252922659677980929081462283717837767, p prime? False
21, x=74939944132204092746, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=125513841581056906504817554380546235495692173884586276550849425182234991689167093061105509188680865558898289824049, p prime? False
19, x=74939939738468044383, solution: [10, 10, 119, 119, 228, 228], [0, 24, 95, 143, 214, 238], p=4812230441305201692061154833680095411238632802855298182756020430151105134418639931197682297233205710835028737, p prime? False
2, x=74939902379585541766, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=300755913646337491965058142074443681234755358886947948277644756498512339706397476496067660658528728006831165951, p prime? False
