x values, solutions and p values of 2^16-smooth twin numbers for x in the range from 1099511627776 to 2199023255552 - 2020-10-16 00:28:06.829924
51, x=1975685379238, solution: [10, 10, 119, 119, 228, 228], [0, 24, 95, 143, 214, 238], p=1615746018078913644509094036358019265128560871488632829972207601, p prime? False
17, x=1391570590520, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=12330108207148773707910690758552377529541771831667678536664025287, p prime? False
17, x=1391571721176, solution: [10, 10, 143, 143, 276, 276], [0, 23, 120, 166, 263, 286], p=93233786859207788164497262826579067157390259485886458871340449, p prime? False
2, x=1133873831736, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=3960322965838002196798263306650074016272437398060623937386296577, p prime? False
0, x=1099514531922, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=1252037319626534143665467250718400750388361181851232949639713555527, p prime? False
4, x=1168234357528, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=353059052332336521596867957886168945465841770512264098133157703393031, p prime? False
1, x=1116696138448, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=5496440228611773532846654716381689799975653950967659191046010140561, p prime? False
46, x=1889792144216, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=6326328502396833446795909170448244011875539015628231830438926926896071, p prime? False
31, x=1632094758527, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=53572713441556374188587536247145096370930057174842472542736691281799, p prime? False
14, x=1340038439043, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=135640565243522865004541776943840373065623246179378666135110371327, p prime? False
33, x=1666461258566, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=36366940646729580135292250122479357988494793332844779894577542271, p prime? False
39, x=1769542696617, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=719204389440142251964258304492525227724250253284496256792426336737, p prime? False
16, x=1374405034758, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=19105563353163868672656679706096757775820896913070795558548841458801, p prime? False
35, x=1700823874903, solution: [10, 10, 143, 143, 276, 276], [0, 23, 120, 166, 263, 286], p=310810597005745680290951244579901832888789507763625666819335457, p prime? True
12, x=1305690113266, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=3511172173083653410437249466128496727533003234567787361699676278151, p prime? False
56, x=2061607942537, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=1798550039864148057954699316293508266596906909756339036504472518977, p prime? False
19, x=1425951426445, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=35249512848045166348190576561551363883521533137325333893266973377, p prime? False
3, x=1151077456819, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=54489565484245737693310443824803401503566702919280327388964738887, p prime? False
