x values, solutions and p values of 2^16-smooth twin numbers for x in the range from 4398046511104 to 8796093022208 - 2020-10-23 00:19:09.794762
1, x=4466779525468, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=22513267116092392771316191003646836612338829147753753656264649281090047, p prime? False
52, x=7971489538894, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=6010670711373660774409933152347570165388307492447129912077369802259617, p prime? False
13, x=5291452417515, solution: [5, 5, 96, 96, 187, 187], [0, 11, 85, 107, 181, 192], p=5448960739416883839227763246324001080226064228596211861542937108897, p prime? False
58, x=8383839484414, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=647142523669618217405266253334733246334520954583658302672384729008127, p prime? False
18, x=5635056471961, solution: [7, 7, 176, 176, 345, 345], [0, 15, 161, 191, 337, 352], p=354454117768208916528890802918004129451855772283826205958119251071, p prime? False
10, x=5085348383294, solution: [8, 8, 99, 99, 190, 190], [0, 19, 80, 118, 179, 198], p=1527554430452756832868942594209481015620869390721972633237989663231, p prime? False
7, x=4879237683326, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=22911170872135035662277040742560994506983087959229117288473031553937, p prime? False
5, x=4741812203590, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=266288341861726331678983388335106276806933614165714079051382772781057, p prime? False
0, x=4398218318340, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=20517862812897017612384923518709086981469099629691069313038232883729799, p prime? False
60, x=8521416239875, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=8969262412550791869196824353129591272869156936724708482202190974859551, p prime? False
15, x=5429029126774, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=43477890778490895193369352422072607704360455067660491393492793900807, p prime? False
11, x=5154159763298, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=53139648934834291893462961293334867808086231332061587775580062798511231, p prime? False
8, x=4948024041345, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=343777033610130005055489257313900578810818515619753200163948107801377, p prime? False
62, x=8658904587090, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=298668318679958757378943885114462454619709313920292898599082524186409799, p prime? False
40, x=7147078054454, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=248378134131803817924056366643133914719938790977034257938373644832199, p prime? False
11, x=5154200939000, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=53142196127179922302090640360925052025899898267140991583953612643739601, p prime? False
58, x=8384069695617, solution: [7, 7, 80, 80, 153, 153], [0, 17, 63, 97, 143, 160], p=94623794420778289133204996523726792452740523978475979384513529008241, p prime? False
46, x=7559443696142, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=528944911698855574846330123156049809410132944373234625302387276666323537, p prime? False
4, x=4673240767928, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=244002903000626913235828668232177578948078756880648270880823805440199, p prime? False
18, x=5635336098496, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=54381899808653963712150062738711376434299189906993888040538039298081, p prime? False
20, x=5772794332613, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=155181962034825180814307626793944309987327021271805568112891839120511, p prime? False
40, x=7147210884124, solution: [14, 14, 117, 117, 220, 220], [0, 40, 77, 157, 194, 234], p=2052940762883509529010209164774831043263337826413889728639061959167, p prime? False
8, x=4948166383693, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=2038605870657831352646529393797709874710279486401602754212774493275273537, p prime? False
15, x=5429237303855, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=3557135838491224569762338368531457801842552274531580928589613996709699711, p prime? False
14, x=5360516826287, solution: [7, 7, 176, 176, 345, 345], [0, 15, 161, 191, 337, 352], p=262669937770738187117970269959656586951269485301108292676888451761, p prime? False
11, x=5154371716676, solution: [6, 6, 133, 133, 260, 260], [0, 13, 120, 146, 253, 266], p=871228208561248952178951057352068587594178171882302579898001207807, p prime? False
12, x=5223130619174, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=34476308460440077647009333730073817708512732990478773562482870416927, p prime? False
21, x=5841639764983, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=112636735521953813220199558319811682500966779239851779198257562316900881, p prime? False
5, x=4742122689331, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=1579443952478662914235403940658090519341497193553407518130634215531986737, p prime? False
54, x=8109453508322, solution: [2, 34, 95, 159, 220, 252], [0, 40, 87, 167, 214, 254], p=9989106919410762594861470062000338228628063957649876443993918313727, p prime? False
58, x=8384337196327, solution: [7, 7, 176, 176, 345, 345], [0, 15, 161, 191, 337, 352], p=3845765569472513856552721995995612390346246469060444143574678122271, p prime? False
