x values, solutions and p values of 2^23-smooth twin numbers for x in the range from 18446745173221179392 to 18447869973616394240 - 2020-12-04 15:28:30.429004
x values, solutions and p values of 2^23-smooth twin numbers for x in the range from 18446745173221179392 to 18447869973616394240 - 2020-12-04 15:28:44.943153
x values, solutions and p values of 2^23-smooth twin numbers for x in the range from 18446745173221179392 to 18447869973616394240 - 2020-12-04 15:29:39.989687
0, x=18446745173221183728, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=111683730974070666082078997226420521939253552700832680937736115079858867715550608516870959510254625523898622449, p prime? False
0, x=18446745173221183901, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=5472502817729462958420021738304274512661115662737938833694050066457985476085665167989010853516163420176015998449, p prime? False
0, x=18446745173221184336, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=5472502817729463732715553017644372305303794456667643887063086332423777388229936871420620546778407328094341467681, p prime? False
0, x=18446745173221185690, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=27920932743517684284090699135240710850049187465947631207635797422980762799702802481070107344439692120588096449, p prime? False
0, x=18446745173221189517, solution: [10, 10, 77, 77, 144, 144], [0, 32, 45, 109, 122, 154], p=6409764174361276063069280285703239226908419932604159990237309131389975147816071668402567360495794646565447, p prime? False
0, x=18446745173221191310, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=66904284044812412131453769053414936315421457629189192299899753645543469200557343996218480533372421270032561, p prime? False
0, x=18446745173221191552, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=923006041108024375132695623677233535880836176009292041112133242065350479413152128970214205055195396284362049, p prime? False
0, x=18446745173221191552, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=27920932743517737520314067180011724080390231002575648719739027884288405250344481692798168051901429847902890049, p prime? False
0, x=18446745173221194068, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=111683730974071041696237731844622160490724766516054136802856056410906681666534227935698780835823719365362850887, p prime? False
0, x=18446745173221198303, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=5472502817729488593832071129286335880043516397057615568834650318745904748000547776519619014825655120288547009311, p prime? False
0, x=18446745173221198313, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=5472502817729488611631968400075831875183314911630140840478732455031800848241105727504743980294377951236743315591, p prime? False
0, x=18446745173221198808, solution: [8, 8, 225, 225, 442, 442], [0, 17, 208, 242, 433, 450], p=124497014523988022505434016685067380574558483753306383981644962502715431948270283823510074093483730043271, p prime? False
0, x=18446745173221199105, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=5472502817729490021383832246604067917963577333961686077218108577664299850961519316202796831926112383476815962111, p prime? False
2, x=18447307573418910506, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=27926040615345682980130922853636070849592651849790611234379970528046742104013031924027370094333913303838559617, p prime? False
0, x=18446745173221202648, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=5472502817729496327887435287326889541413532774442373071414525601159279820500580023501854973277409570750157949767, p prime? False
0, x=18446745173221202827, solution: [5, 5, 96, 96, 187, 187], [0, 11, 85, 107, 181, 192], p=9780989622468287071882418090865293859633863066159033487359660864131434479035999563033623866234692031877857, p prime? False
0, x=18446745173221207880, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=111683730974071543435382842344001499835138248641195148040925696837658775636540062417409927949952198141967312961, p prime? False
0, x=18446745173221212500, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=111683730974071711262985681216932502055480932409822463498133564724539158165999780933800837182227205806844103751, p prime? False
3, x=18447588773517856101, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=5474004589278408227854597418856242964428113530973377948194613012880595029375293129085778463470847670231837548449, p prime? False
0, x=18446745173221232195, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=5472502817729548921243901289323178058058895705243511830094707222687664873012953971936281411464404954461063978177, p prime? False
