x values, solutions and p values of 2^22-smooth twin numbers for x in the range from 73786888333907984384 to 73786941110466117632 - 2021-02-05 18:18:32.551512
23, x=73786907305404656443, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=3780610183453666212803779968404122719872841215727794445328844459906691464572652219071249128919649805719667943687, p prime? False
57, x=73786935355666941205, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=22415288904970122338274357980811239105008306014248770748453425458232159458890556046236570937372576649802950188067921, p prime? False
34, x=73786916392410855988, solution: [10, 10, 119, 119, 228, 228], [0, 24, 95, 143, 214, 238], p=4384726875712032135490836004947538924404242772274463341922286391395677733043552975454117184399887687740011551, p prime? False
53, x=73786932074406704166, solution: [6, 6, 133, 133, 260, 260], [0, 13, 120, 146, 253, 266], p=7498151970286424397701164572351256125363429036190584229876201159629863993099961096608403163652566514448605311, p prime? False
61, x=73786938675213048503, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=457454999092252557413319799869538833643832132322122348539753658889444423669494126584003346387249420086438599720049, p prime? False
26, x=73786909814613928101, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=22415242351233959996401199436831238396874938033666356511704482754935318022320389776087905657896457003063224549316449, p prime? False
4, x=73786891676065681799, solution: [23, 23, 624, 624, 1225, 1225], [0, 49, 575, 673, 1199, 1248], p=1044259083114295187296887963652500084069709409202161184506708125011530795985216523846076765016219614073991, p prime? False
52, x=73786931277584406092, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=457454723914985431330463607061093280611573785097038015247222730073551283749586949349664790306980005632367398791967, p prime? False
60, x=73786937917690274393, solution: [11, 11, 168, 168, 325, 325], [0, 25, 143, 193, 311, 336], p=894821205758493241976476266623537900364136929026314239232810699990329578927044429952503800435477807972137921, p prime? False
54, x=73786932982091781441, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=22415284578645815037086420550950931119431644643440521706272920705895465510866800465201299108257869445986774370284031, p prime? False
53, x=73786932161985834200, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=3780617824900624758375339611868538655431256496217978461922667753695103422948087607601090210766819438327181632321, p prime? False
33, x=73786915675387044247, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=3780612756564597130989069996792243546468998756024909003915573646028006259278073256199829560836452295227611588241, p prime? False
57, x=73786935490976416986, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=300759290364814099058333156103226652564221356145620087739667278934455073479043659836840401627190040189904100977, p prime? False
3, x=73786890972658535943, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=3780605162423698253369471221258938412134025559216812568554431297702657309672542273514946357466879318392773812737, p prime? False
62, x=73786939626736450438, solution: [16, 16, 323, 323, 630, 630], [0, 35, 288, 358, 611, 646], p=30449549720852734976535319982675784649381878715403281967620677453339918366454357460047713751511417734079041, p prime? False
51, x=73786930573006177945, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=22415280187597200878071818657658828906547335802020618006881598780353837594223419527540435460589247221108234224184327, p prime? False
8, x=73786895131232475283, solution: [13, 13, 560, 560, 1107, 1107], [0, 27, 533, 587, 1093, 1120], p=4969897272060075738240091542173255952567539007284237707867568840537710492272918681434817582145618335181951, p prime? False
