x values, solutions and p values of 2^23-smooth twin numbers for x in the range from 73786976294838206464 to 73788102194745049088 - 2020-12-05 00:06:41.114245
x values, solutions and p values of 2^23-smooth twin numbers for x in the range from 73786976294838206464 to 73788102194745049088 - 2020-12-05 00:07:28.029083
14, x=73787222585643475527, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=3780707108324841338568798670510626018962188216328623112897356693690983794666656156048067004729851288505196544449, p prime? False
53, x=73787908682167145130, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=457491082642153546946076277129820315414443892222134953762390329322958114579171597591767694709011179599753364242311, p prime? False
9, x=73787134626697896978, solution: [10, 10, 119, 119, 228, 228], [0, 24, 95, 143, 214, 238], p=4384804686646472017226404467347462490752000037583662865960596447926552460320202611561239750960034350687204999, p prime? False
47, x=73787803129785538157, solution: [22, 22, 221, 221, 420, 420], [0, 56, 165, 277, 386, 442], p=77412124797548279367497648092201595320856151255467129767502341453544980826936604918744866935912073873758727, p prime? False
8, x=73787117034984817310, solution: [10, 10, 119, 119, 228, 228], [0, 24, 95, 143, 214, 238], p=4384798414318887592948894273479351023045295675860037406707966288754216138157324111164187743405850055748536049, p prime? False
22, x=73787363325677022606, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=3780750375928409347948889775159193205633147359205783625493577155069038984089831893017717011636794001902019664097, p prime? False
34, x=73787574432467083573, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=3780815277105142696006996545207378240922910789376537740433916629401345377375933903561161693011805130498521226951, p prime? True
15, x=73787240181435268930, solution: [22, 22, 221, 221, 420, 420], [0, 56, 165, 277, 386, 442], p=77408581269085849758567405985653365445614640848417078051975895647764357531665472754381522243055376377583297, p prime? False
51, x=73787873500509825890, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=114372443467189268295981161684270412806047328176639779828153683774024573027084091029862965381780179042688608231199, p prime? False
61, x=73788049422842766291, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=22417319596184334859701628400691721148074578943094530174878815879678796956170850182450177073634773030484175636845841, p prime? False
23, x=73787380920242389316, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=3780755785041537739744916952334975657021506525288021148095866238629017484249980671713779346707174088152627519999, p prime? False
6, x=73787081854000297266, solution: [6, 6, 133, 133, 260, 260], [0, 13, 120, 146, 253, 266], p=7498243293437220771892969593206431103948123562142175989687392608461502437630769283654992505760076403873712801, p prime? False
53, x=73787908687201027445, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=22417063058641405819281136326237969289217392502096199753510554501660280763590647430178731758643155087751715826084977, p prime? False
23, x=73787380921957642121, solution: [4, 4, 65, 65, 126, 126], [0, 9, 56, 74, 121, 130], p=300770184124807384295394398985186698410675090766717754262625682282117106116989999467136284353444932088322238401, p prime? False
23, x=73787380922966577944, solution: [14, 14, 117, 117, 220, 220], [0, 40, 77, 157, 194, 234], p=2485704001235396439996096742121512661129691172017524627669617149536025907363325023565581210268046725447917201, p prime? False
5, x=73787064263726703410, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=3780658436029202088982270405491683462663991593117304467282237327618743061720223429169154646097146075026085619999, p prime? False
1, x=73786993896051258600, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=22415395606967440282779302847553271718611887920053152519411332544315796390618579691836870063700862089550364301749791, p prime? False
