x values, solutions and p values of 2^16-smooth twin numbers for x in the range from 17592186044416 to 35184372088832 - 2020-11-08 07:03:33.805436
40, x=28587319910480, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=1547077513982825170120842435231607803713042367909482695574848996644344891921, p prime? False
6, x=19241480747687, solution: [7, 7, 176, 176, 345, 345], [0, 15, 161, 191, 337, 352], p=561825352827586766348028957904853294393079193056899774016228445772831, p prime? False
1, x=17867142425600, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=55241572588875532373303769736002049773977216416035028321165799770053121, p prime? False
44, x=29687184784696, solution: [10, 10, 143, 143, 276, 276], [0, 23, 120, 166, 263, 286], p=8789291147016510711708175492292127893487089719491003834957720762901057, p prime? False
0, x=17592654639774, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=50341215831971006248522170688435612924448345432016947741222994947727457, p prime? True
55, x=32711100197710, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=28698352203755474911206464306709851995487033541836523127114793600763430049, p prime? False
30, x=25839416974362, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=210915110000337406063847037516076116631684303888410571973858488658087969281, p prime? False
31, x=26114320235536, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=44049385726643560380555740319072286676220544754585296780432217233816655592961, p prime? False
0, x=17593048876222, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=84046199338369672792941080804857978126560057467081098053988624565988315041, p prime? False
52, x=31887312032411, solution: [5, 5, 96, 96, 187, 187], [0, 11, 85, 107, 181, 192], p=260958698224409955118755162001739471371966259805147844691800913441333191, p prime? False
56, x=32987211442675, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=5402544502374390817575503257903517935672956139302522405630631147260642961, p prime? False
45, x=29963731010675, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=16953578882557630281738823821250599537436244770567456011942251280280080671, p prime? False
50, x=31338358026283, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=3971752291430077925247102412958233895800581811882443761778560435381021831, p prime? False
