x values, solutions and p values of 2^22-smooth twin numbers for x in the range from 110680464442257309696 to 110680569995373576192 - 2021-02-09 00:23:58.190220
38, x=110680527149840021696, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=1302683000519429315635006845960231551604350519507428137235756965841283668352010158467969231519094765126886543644449, p prime? False
45, x=110680538707706873685, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=255326028077003446605182284502323208364439137364542678592582729662254953233871646791069277123093570440198002891909137, p prime? True
30, x=110680513965327723483, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=255325685611926743547451422032839454139187961113389433076885805477319343398786654111230169611689685055849110589296049, p prime? False
43, x=110680535431845579888, solution: [16, 16, 323, 323, 630, 630], [0, 35, 288, 358, 611, 646], p=346841771219128660868606130259338332665941394093995046226591036260314844796620314683230364067643474545856711, p prime? False
25, x=110680505742689417639, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=3121492148766992182852674986812172882061058395221093574554913733849607577014581997740943976049412842834428241441, p prime? False
26, x=110680507403363496955, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=7708175183743027788404553878631663971797762949795348757256246486977265778032002289591556886311934665880759303199, p prime? False
51, x=110680548642522615072, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=5210738073208723907121019174871628468968889706908945688562808669493627594830079713392245775893678118371109739675361, p prime? False
3, x=110680469495871878250, solution: [10, 10, 77, 77, 144, 144], [0, 32, 45, 109, 122, 154], p=299053932296895115318210292184325846792757152995845790473660764654456240474508366672320254944810365162056538951, p prime? False
38, x=110680527252945888056, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=3121495788656177511827646698534593493171726510075625288410251900929021417300357971897787107955027680163340185799, p prime? False
54, x=110680553665959231530, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=1302684873050360220972180999442518395693124129731927274948649565630667532156076016711512415764516244010760380579841, p prime? False
13, x=110680486044701671490, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=5210720390947927699419527728548193985439952848951653712358818555009179419556089911084104776088531524624015284339199, p prime? False
2, x=110680467907916549658, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=5210715267785893154818254443920570749919139959659183416891123885822708249253970613857876230298612194109618718561671, p prime? False
27, x=110680509159447325472, solution: [10, 10, 341, 341, 672, 672], [0, 21, 320, 362, 661, 682], p=700179806924902963630320126418604364436289469459428740381782045078739706971086813739358409612685856266176799, p prime? False
21, x=110680499263579396858, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=5210724124933858019244701866776501158534155781159042742753460797146325646131767061630235470458215367638125039682631, p prime? False
48, x=110680543800823542371, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=255326098572074088558598745423231241754515596744672599823836953133652291407456489792706985523564709410204748788890017, p prime? False
