x values, solutions and p values of 2^16-smooth twin numbers for x in the range from 8796093022208 to 17592186044416 - 2020-10-28 22:00:07.756106
32, x=13194150866963, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=123587551229293843106333066885099557586915310568851792522178470815629087, p prime? False
54, x=16217825221776, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=426227775740515831515401639685014737914478147565952166791555138436035377, p prime? False
46, x=15118335077230, solution: [8, 8, 99, 99, 190, 190], [0, 19, 80, 118, 179, 198], p=1054620552171510122199341811739616197462635466700776415202799323667591, p prime? False
10, x=10170713799610, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=3137473201839937032031906044134292550600122087188598134430213700729272007, p prime? False
35, x=13606740119962, solution: [10, 10, 77, 77, 144, 144], [0, 32, 45, 109, 122, 154], p=1032400251885600353964334149356696364758825850493368112104893969674817, p prime? False
28, x=12644714775013, solution: [5, 5, 48, 48, 91, 91], [0, 13, 35, 61, 83, 96], p=17138742446028259284306848198858307133617473348310710764699986776958751, p prime? False
63, x=17455104164487, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=662553148704374979695741478676085296157627004894540059572839377512180097, p prime? False
29, x=12782170239735, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=7405647252547022818608307478835934884512627618505183864009152704945951, p prime? True
32, x=13194534960334, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=123609139256474511716234114102742235456026819454618332577786815288421921, p prime? False
29, x=12782239515785, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=605772021073191629568675891109149222536618577518534263074633857949123524167, p prime? False
24, x=12095071107391, solution: [1, 3, 12, 16, 25, 27], [0, 7, 7, 21, 21, 28], p=16104761404729929832349201489714982662260788323319915314921442492775398649, p prime? True
22, x=11820257148605, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=378816643479442992661023034883026839777894430607578293126813750420987292561, p prime? False
48, x=15393704742096, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=9429102271818439680758601796050386443943786358848864662138117860320084449, p prime? False
27, x=12507495217383, solution: [10, 10, 143, 143, 276, 276], [0, 23, 120, 166, 263, 286], p=49154335512250126293126975709584530606175788328305365075287228158257, p prime? False
60, x=17043103127347, solution: [3, 3, 40, 40, 77, 77], [0, 7, 33, 47, 73, 80], p=574087491924426462130623234994839778401773827844842901159540371430215711, p prime? False
42, x=14569185359440, solution: [8, 8, 99, 99, 190, 190], [0, 19, 80, 118, 179, 198], p=844664113297549740915456412695396372547262579290168708630788314261249, p prime? False
14, x=10721146754323, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=210918633235183344870781099280815366407455159215205923534371579732788598737, p prime? False
4, x=9346750946000, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=1132138243243478577451137680568919958879262057148898458769653900351201, p prime? False
26, x=12370593523620, solution: [4, 4, 35, 35, 66, 66], [0, 11, 24, 46, 59, 70], p=83951657491195313957486892768744161660396740045973784129871376977260671, p prime? False
53, x=16081551029835, solution: [5, 5, 96, 96, 187, 187], [0, 11, 85, 107, 181, 192], p=4293702073753098939341310806652045673469365713738874564879734755650801, p prime? False
11, x=10309041652900, solution: [10, 10, 143, 143, 276, 276], [0, 23, 120, 166, 263, 286], p=15411663667805605655595611997690429890250743656484940951698971176991, p prime? False
3, x=9209601325408, solution: [6, 6, 133, 133, 260, 260], [0, 13, 120, 146, 253, 266], p=28348004923465493608061903722277139542497474190267981792749872606049, p prime? False
11, x=10309297501360, solution: [6, 6, 55, 55, 104, 104], [0, 16, 39, 71, 94, 110], p=2038496040590227339400831731763613552227670629152173066270062214166001, p prime? False
13, x=10584226939203, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=195264081178223831622081747801999000001045386922191136598325591585031611841, p prime? False
30, x=12920873121562, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=3297331439347860855598695646148539924187149051446812464896451078061330561, p prime? False
6, x=9622282200015, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=2249779532139851845304712967438385570975385372802601786066857632049999999, p prime? False
22, x=11821356116571, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=379028011536790989494268960071879370093230947564561606599730279353649072177, p prime? True
24, x=12096279918151, solution: [7, 7, 176, 176, 345, 345], [0, 15, 161, 191, 337, 352], p=34680181292970208095525911986993044021177586270688343324310339075199, p prime? False
19, x=11409132336296, solution: [2, 2, 21, 21, 40, 40], [0, 5, 16, 26, 37, 42], p=1562885413378815782837882292759562711247207393499144754634813017929228799, p prime? False
6, x=9622395047048, solution: [1, 1, 8, 8, 15, 15], [0, 3, 5, 11, 13, 16], p=110246954402001160265743483639966317891989739174585596295583546664965104127, p prime? False
21, x=11684187568887, solution: [2, 2, 15, 15, 28, 28], [0, 7, 8, 22, 23, 30], p=7212113364948601496066528893300690721920860833071017295829781328063612817, p prime? False
